Unix Timestamp,Left Value,Right Value
1733843959.4680524,5.9e-06,
1733843959.4680524,-1.12e-05,
1733843959.4705648,,-0.00024209999999999998
1733843959.5718565,-4.6e-06,
1733843959.5740502,,-0.00028670000000000003
1733843959.6753163,3.3e-06,
1733843959.6771712,,-0.0003083
1733843959.7804,-8.5e-06,
1733843959.783606,,-0.0003391
1733843959.8848298,3.9e-06,
1733843959.8877332,,-0.0004211
1733843959.9891915,7.2000000000000005e-06,
1733843959.9917033,,-0.0005149999999999999
1733843960.0949066,-3.9e-06,
1733843960.096424,,-0.0006527
1733843960.1977804,-2.16e-05,
1733843960.2007952,,-0.0007505000000000001
1733843960.303434,-3.15e-05,
1733843960.3072267,,-0.0007918000000000001
1733843960.4098837,-1.38e-05,
1733843960.4108906,,-0.0008692
1733843960.5135312,-2.16e-05,
1733843960.5150442,,-0.0010378
1733843960.6188872,-3.21e-05,
1733843960.6229062,,-0.0010325
1733843960.7247107,-3.87e-05,
1733843960.7277234,,-0.0009571
1733843960.8326054,9.8e-06,
1733843960.8326054,,-0.0009374
1733843960.9360027,-1.31e-05,
1733843960.9375162,,-0.0006055
1733843961.0419881,-1.31e-05,
1733843961.0421262,,-7.35e-05
1733843961.1441984,-9.2e-06,
1733843961.14576,,0.0005405
1733843961.2501485,-2.49e-05,
1733843961.2580075,,0.0009374
1733843961.359729,-1.5100000000000001e-05,
1733843961.3622434,,0.0011348999999999999
1733843961.4647195,1.31e-05,
1733843961.4647195,,0.0011867
1733843961.5674675,6.76e-05,
1733843961.5684834,,0.0012136
1733843961.6724043,6.23e-05,
1733843961.6724043,,0.0011939
1733843961.7966452,5.3099999999999996e-05,
1733843961.8046587,,0.001186
1733843961.907057,3.4099999999999995e-05,
1733843961.907057,,0.0011788
1733843962.009267,1.97e-05,
1733843962.0142984,,0.0011505999999999999
1733843962.0178444,2.0300000000000002e-05,
1733843962.0226445,,0.0012615
1733843962.130699,2.1e-05,
1733843962.1338112,,0.0012995
1733843962.2355413,3.87e-05,
1733843962.2389843,,0.0013086999999999999
1733843962.3436842,2e-06,
1733843962.345198,,0.0013835
1733843962.4498076,1.12e-05,
1733843962.4540756,,0.0014471
1733843962.5574706,3.67e-05,
1733843962.5607493,,0.0014274000000000001
1733843962.6627672,1.71e-05,
1733843962.6627672,,0.0014517
1733843962.7659914,1.18e-05,
1733843962.7659914,,0.0015068
1733843962.8685014,-1.38e-05,
1733843962.8685014,,0.0015324
1733843962.9739277,-2.16e-05,
1733843962.976776,,0.0015606
1733843963.0791943,-5.25e-05,
1733843963.0841198,,0.0018184
1733843963.1850915,-8.2e-05,
1733843963.187573,,0.002294
1733843963.3020496,-9.180000000000001e-05,
1733843963.304173,,0.0021438
1733843963.4059114,-0.00029780000000000003,
1733843963.4069886,,0.0019562
1733843963.510134,4.13e-05,
1733843963.5120814,,0.0017909
1733843963.6160848,9.32e-05,
1733843963.6160848,,0.0016282
1733843963.7187033,0.0006257999999999999,
1733843963.7197514,,0.0014124
1733843963.821448,0.000719,
1733843963.821448,,0.0013691
1733843963.923846,0.0006573,
1733843963.9260166,,0.0013028
1733843964.0305197,0.0009492000000000001,
1733843964.0331879,,0.0012778999999999998
1733843964.1363237,0.0011454,
1733843964.1363237,,0.0012339
1733843964.2396972,0.0011408,
1733843964.2396972,,0.0012056999999999999
1733843964.344249,0.0013022,
1733843964.3485384,,0.0011664
1733843964.450056,0.0009899,
1733843964.450056,,0.0011250000000000001
1733843964.5530045,0.0006232,
1733843964.5651188,,0.0011493
1733843964.6850653,0.0002283,
1733843964.6875799,,0.0011591
1733843964.6875799,1.2999999999999998e-06,
1733843964.6875799,,0.0010961999999999999
1733843964.7920218,-2.76e-05,
1733843964.7920218,,0.0010489
1733843964.8963568,-8.4e-05,
1733843964.8979626,,0.0010155
1733843965.0020554,-0.0001358,
1733843965.006207,,0.0009977999999999999
1733843965.123124,-0.0001089,
1733843965.1322196,,0.000982
1733843965.2360418,-8.59e-05,
1733843965.2380548,,0.0009755
1733843965.3392022,-0.00011679999999999999,
1733843965.3417125,,0.0010129
1733843965.4461377,-9.839999999999999e-05,
1733843965.4502566,,0.0009938
1733843965.5566015,-9.25e-05,
1733843965.5621264,,0.000925
1733843965.6784604,-0.0001096,
1733843965.6811235,,0.0009151
1733843965.7842247,-0.0001181,
1733843965.7842247,,0.0008941
1733843965.8878071,-0.00011480000000000001,
1733843965.91091,,0.0009256000000000001
1733843965.9240837,-0.00010229999999999999,
1733843965.9279258,,0.0009131
1733843966.0332115,-0.00011480000000000001,
1733843966.0372233,,0.0008705000000000001
1733843966.1397038,-0.0001351,
1733843966.1454198,,0.0008469
1733843966.267019,-0.0001319,
1733843966.273238,,0.0007905
1733843966.4025145,-0.0001122,
1733843966.4065418,,0.0007655000000000001
1733843966.511546,-0.000126,
1733843966.5159297,,0.0007754
1733843966.6183312,-0.0001338,
1733843966.6219292,,0.0007806
1733843966.6247106,-0.00011549999999999999,
1733843966.6304796,,0.0007183000000000001
1733843966.733844,-9.58e-05,
1733843966.737345,,0.0006744
1733843966.8394506,-0.0001122,
1733843966.845508,,0.0006711
1733843966.9474986,-0.0001266,
1733843966.9512205,,0.0006567000000000001
1733843967.0543845,-0.00011740000000000001,
1733843967.0625007,,0.0006626
1733843967.184903,-9.839999999999999e-05,
1733843967.1926215,,0.0006101
1733843967.3342764,-0.00012,
1733843967.338311,,0.0005543
1733843967.338311,-0.00012,
1733843967.342305,,0.0005045000000000001
1733843967.4438584,-0.0001214,
1733843967.4438584,,0.0004225
1733843967.548408,-0.00011089999999999999,
1733843967.555435,,0.0003811
1733843967.6717956,-0.0001122,
1733843967.6758122,,0.0003844
1733843967.782909,-0.0001279,
1733843967.7860763,,0.0003864
1733843967.887106,-0.0001345,
1733843967.8923264,,0.0003569
1733843967.995392,-0.0001351,
1733843967.9979434,,0.000349
1733843968.0991213,-0.0001089,
1733843968.1191466,,0.0002913
1733843968.221621,-8.920000000000001e-05,
1733843968.2366502,,0.0002795
1733843968.3470757,-8.99e-05,
1733843968.3480911,,0.0002585
1733843968.452158,-9.71e-05,
1733843968.4566405,,0.00025979999999999997
1733843968.561482,-0.0001096,
1733843968.5654957,,0.0002722
